이름,주차가능대수,위도,경도
오토마트주차장,52,35.19746953,128.9168552
엔투로지스주차장,78,35.13391102,128.854688
스카이주차장,39,35.1281014,128.8521909
우리들주차장,11,35.11904561,128.8905371
동양주차장,20,35.11986081,128.8965902
금호주차장,25,35.21726607,128.9558723
무지개주차장,17,35.21648179,128.9687711
동호주차장,8,35.21550869,128.9630396
강서지사주차장,10,35.210526,128.980828
부자집주차장,10,35.21206253,128.9832048
강서주차장,12,35.21414118,128.9812899
대보주차장,14,35.21456825,128.9808873
대저주차장,38,35.21424984,128.9807956
대저주차장,50,35.21580764,128.9734345
일공주차장,30,35.21702737,128.9734997
보광주차장 2,5,35.18077924,128.9534953
강서제일 주차장,16,35.18076581,128.9563136
뉴공항주차장,13,35.18079326,128.9563045
공항주차장,35,35.18056638,128.9558761
강서제이주차장,18,35.18080209,128.9558975
보광주차장,10,35.18181108,128.9561575
삼천리주차장,200,35.18140746,128.955677
광남주차장,245,35.18176269,128.9541709
강서주차장,30,35.18416187,128.9584447
장기주차장,35,35.18416187,128.9584447
보광주차장 3,12,35.18362715,128.9582058
신흥주차장,170,35.18224522,128.9576049
우현주차장,34,35.17994616,128.9557464
가가주차장,22,35.17987053,128.9544302
발렛주차장,15,35.17867362,128.9550364
국제주차장,64,35.17782587,128.9561812
부산주차장,54,35.17949883,128.954233
차차주차장,30,35.17975562,128.9540415
VIP주차장(B동),150,35.18026547,128.9536905
강동주차장,118,35.17921199,128.9519624
동해주차장,13,35.17950219,128.9532226
동원주차장,61,35.17922889,128.9534256
동원주차장,61,35.17922061,128.9534181
제이엠알주차장,31,35.17754393,128.9542756
명성주차장,33,35.1767442,128.9540485
유카주차장,10,35.17771616,128.9507204
김해주차장,22,35.17731536,128.9508008
김해주차장,22,35.17656233,128.9504326
현대주차장,84,35.17611554,128.9505439
현대주차장,84,35.17611554,128.9505439
신공항주차장,15,35.17538766,128.9505434
삼성주차장,144,35.17538766,128.9505434
한국주차장,4,35.17455553,128.9525452
부용주차장,20,35.17377711,128.9537809
ABC주차장,40,35.17507076,128.953654
